# CIC Global Geofeed updated 2025-01-02T21:33:12+00:00
# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805
# number of records: 8 checksums of content minus comments:
# SHA256: 9D7E4F5753DD426D35CDF74D93BA00050D41F899C491BD916E7EFA66195097BB
204.9.220.0/22,US,US-MA,Cambridge,
135.84.57.0/24,US,US-MA,Boston,
135.84.58.0/24,US,US-PA,Philadelphia,
135.84.59.0/24,US,US-RI,Providence,
74.116.32.0/24,PL,PL-14,Warsaw,
74.116.33.0/24,NL,NL-ZH,Rotterdam,
74.116.34.0/24,JP,JP-13,Tokyo,
74.116.35.0/24,JP,JP-40,Fukuoka,
74.116.36.0/24,DE,DE-BE,Berlin,
